,PerceivedTime
0,-1660165818.5355763
1,0.020830999999999822
2,0.017860100000000045
3,0.016731800000000074
4,0.019154799999999916
5,0.017790500000000264
6,0.018683299999999736
7,0.02138540000000022
8,0.01659059999999979
9,0.016934800000000028
10,0.01799910000000038
11,0.01859279999999952
12,0.019924699999999795
13,0.017168000000000738
14,0.0172447
15,0.01902379999999937
16,0.020041200000000536
17,0.014993800000000057
18,0.01859969999999933
19,0.021764200000000677
20,0.03717559999999942
21,0.0025897999999999755
22,0.011950500000000197
23,0.020057999999999687
24,0.017927900000000108
25,0.01841990000000049
26,0.01969460000000023
27,0.01895039999999959
28,0.018899399999999567
29,0.016523900000000147
30,0.01965679999999992
31,0.01746320000000079
32,0.02384569999999986
33,0.018859700000000146
34,0.013050899999999643
35,0.01734589999999958
36,0.0190071000000005
37,0.019860999999999684
38,0.018227900000000297
39,0.019047999999999732
40,0.016793800000000303
41,0.01915219999999973
42,0.01716609999999985
43,0.017853800000000142
44,0.019620600000000543
45,0.024054799999999155
46,0.020314200000000504
47,0.013390900000000094
48,0.024762700000000137
49,0.009458599999999429
50,0.01992140000000031
51,0.016148999999999525
52,0.020902300000000373
53,0.017024700000000337
54,0.01906979999999958
55,0.01619450000000011
56,0.020301299999999856
57,0.015003499999999725
58,0.018470399999999998
59,0.019135700000000533
60,0.01844190000000001
61,0.01686500000000013
62,0.01864449999999973
63,0.032019700000000206
64,0.011284299999999803
65,0.014530699999999896
66,0.017890200000000078
67,0.029207600000000333
68,0.009309599999999918
69,0.024061099999999946
70,0.013698599999999672
71,0.015605700000000056
72,0.020324200000000125
73,0.01735869999999995
74,0.018975799999999765
75,0.017820500000000017
76,0.019868800000000242
77,0.017584600000000172
78,0.0199745999999994
79,0.016949800000000792
80,0.019932799999999418
81,0.015163499999999885
82,0.02048560000000066
83,0.01681609999999978
84,0.02128960000000024
85,0.017233000000000054
86,0.016961699999999524
87,0.019037299999999924
88,0.018553800000000287
89,0.018172799999999434
90,0.017085000000000683
91,0.018835499999999783
92,0.017200100000000162
93,0.021739099999999567
94,0.017345300000000563
95,0.019241300000000017
96,0.016454899999999384
97,0.01845480000000066
98,0.018363699999999206
99,0.020068200000000758
100,0.017481099999999472
101,0.019915800000000594
102,0.01613059999999944
103,0.01803739999999987
104,0.018050600000000472
105,0.027551700000000068
106,0.01003409999999949
107,0.01897139999999986
108,0.01845370000000024
109,0.01849050000000041
110,0.018020299999999878
111,0.01679649999999988
112,0.019196199999999664
113,0.020607400000000275
114,0.016166000000000125
115,0.02043269999999975
116,0.017007399999999784
117,0.017967400000000744
118,0.02009419999999995
119,0.015764199999999562
120,0.01925480000000057
121,0.018013199999999507
122,0.018916899999999792
123,0.017093200000000586
124,0.01831339999999937
125,0.01887500000000042
126,0.018224599999999924
127,0.018809000000000076
128,0.01702379999999959
129,0.018632000000000204
130,0.02063959999999998
131,0.016954000000000136
132,0.018952900000000383
133,0.019465799999999867
134,0.01757350000000013
135,0.018844599999999545
136,0.01665019999999995
137,0.018993899999999897
138,0.01845970000000019
139,0.018109700000000117
140,0.018803099999999517
141,0.01821420000000007
142,0.0198716000000001
143,0.016571700000000078
144,0.019086399999999948
145,0.01781080000000035
146,0.0183681
147,0.0172314999999994
148,0.028058400000000816
149,0.009893599999999836
150,0.019702399999999898
151,0.017966600000000277
152,0.017914799999999786
153,0.019600999999999758
154,0.01888990000000046
155,0.01723739999999996
156,0.017258899999999855
157,0.01708160000000003
158,0.01840699999999984
