,FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
1838,06:10:46:59.213,61,0.0049705263,0.0,0.1232942939,0.0,0.0166880656,0.1833594292,0.007629503,0.0051248246,0.0,0.0,0.0101069445,0.0167541821,0.1833598614,0.0074627069,0.0272782985,0.0086095175,0.0,0.0367554426,0.0401626527,0.0373479873,0.0379213206,0.0,0.0148430588,0.4368090034,0.4837408364,0.0,0.0,0.069755733,0.0727686211,0.0460676774,0.044230558,0.0563579835,0.0280844644,0.221796602,0.1387292594,0.0760945156,0.0843174607,0.046671059,0.0403838567,0.0413018465,0.0482380651,0.2169472128,0.2169400305,0.0461881049,0.0,0.0,0.0309381858,0.1889656633,0.2067644,0.1301622987,0.1571819186,6.802e-07,0.0,0.0,0.0,0.006173817,-0.0073105297,-4.51344e-05,0.0753142089,-0.0073022433,-0.0005494525
1839,06:10:47:00.215,61,0.005867756,0.0,0.1230332702,0.0,0.0166153926,0.1814719439,0.0048481333,0.006039443,0.0,0.0,0.009795717,0.0166815072,0.1814716011,0.0046686311,0.0272910614,0.0084631303,0.0,0.0366960727,0.0401960015,0.0371129997,0.0377286002,0.0,0.0152614163,0.4274272919,0.4761510491,0.0,0.0,0.0696990192,0.0727907717,0.0459008217,0.0440622531,0.0566790253,0.0280174427,0.2222560048,0.1389722228,0.0759799331,0.084181048,0.0468229614,0.0405805632,0.0417443886,0.0488179661,0.2142888159,0.2142807096,0.0466127396,0.0,0.0,0.0306840558,0.1889827549,0.2067331374,0.1306072026,0.1576320678,8.231e-07,0.0,0.0,0.0,0.0059837056,-0.0072788112,-4.35548e-05,0.0751547813,-0.0072703562,-0.0005458973
1840,06:10:47:01.216,61,0.0065080174,0.0,0.1230027452,0.0,0.0171820242,0.1803174615,0.0029804413,0.006688477,0.0,0.0,0.0097617581,0.017249234,0.1803165972,0.0027943822,0.0272919331,0.0082566617,0.0,0.0366162993,0.0401828364,0.0368951038,0.0376114361,0.0,0.0157479867,0.4188078642,0.4680521488,0.0,0.0,0.069592461,0.0727714598,0.0457572751,0.0439449921,0.0570256487,0.0279316995,0.2260918468,0.1399653107,0.076017715,0.0842036307,0.0468703508,0.0406986997,0.0421641655,0.0493733808,0.2117560506,0.2117455155,0.0469835624,0.0,0.0,0.0305201281,0.1887765825,0.2064535618,0.130973354,0.1579505652,9.371e-07,0.0,0.0,0.0,0.0059629511,-0.0075265323,-4.48809e-05,0.075135991,-0.0075182845,-0.0005643729
1841,06:10:47:02.218,61,0.0070726415,0.0,0.1227419525,0.0,0.0177890919,0.1797436178,0.0014435025,0.0072595188,0.0,0.0,0.0095375767,0.0178582128,0.1797425747,0.0012522796,0.0273020491,0.0080864578,0.0,0.0365272872,0.0401552394,0.0367027335,0.0375027917,0.0,0.0161454938,0.4157096744,0.4651253223,0.0,0.0,0.0695355758,0.0727901533,0.0456334688,0.0438409075,0.0573789664,0.027850477,0.2288408428,0.1408837289,0.0761515722,0.0843379125,0.0469200723,0.0408075787,0.0425914004,0.0499194302,0.2107615471,0.2107503414,0.0472838841,0.0,0.0,0.0303898137,0.1886208355,0.2062588334,0.1314323843,0.1583537459,9.865e-07,0.0,0.0,0.0,0.0058259973,-0.007792247,-4.53983e-05,0.0749765486,-0.0077838236,-0.0005830693
1842,06:10:47:03.219,61,0.0073540262,0.0,0.1220623255,0.0,0.0182625595,0.1795780808,0.0005874829,0.0075390539,0.0,0.0,0.0088657448,0.0183322281,0.1795770526,0.0003976864,0.02731888,0.0079507148,0.0,0.036459703,0.0401600301,0.0364897065,0.0373495482,0.0,0.0164359882,0.4170010686,0.4649673998,0.0,0.0,0.069597356,0.072907038,0.0455301106,0.0437442139,0.0576689355,0.0277995914,0.2299352586,0.1413464844,0.0761755705,0.0843534246,0.0470496863,0.0409745686,0.0429444686,0.0503720418,0.2105987072,0.2105874121,0.0475155897,0.0,0.0,0.0302299112,0.1885786653,0.2062577605,0.1319192499,0.1588061899,1.1449e-06,0.0,0.0,0.0,0.0054156026,-0.0079990607,-4.33204e-05,0.0745612681,-0.0079907458,-0.0005952609
1843,06:10:47:04.221,61,0.0073488099,0.0,0.1210437119,0.0,0.0193731487,0.1817292869,0.0003064466,0.0075262566,0.0,0.0,0.0078396136,0.0194452759,0.1817324162,0.0001215199,0.0273501966,0.0079047754,0.0,0.0364685282,0.0402362086,0.0362591073,0.037142545,0.0,0.0165973082,0.4244832993,0.471852839,0.0,0.0,0.0697589517,0.0730982274,0.0454178639,0.0436045453,0.0579300858,0.0278281104,0.2296009064,0.1412137002,0.07595402,0.0841222405,0.0472834781,0.0412194915,0.0431886576,0.0507073291,0.2111835629,0.2111740857,0.0477226041,0.0,0.0,0.0300300177,0.1887534112,0.2066376805,0.1322772652,0.1591435373,1.0992e-06,0.0,0.0,0.0,0.004788775,-0.0084846998,-4.06321e-05,0.0739387572,-0.0084762909,-0.0006261703
1844,06:10:47:05.222,61,0.0073964992,0.0,0.1202916577,0.0,0.0208910909,0.1861784458,0.0,0.0075668404,0.0,0.0,0.007078921,0.0209664963,0.1861917228,0.0,0.0273761675,0.0079681743,0.0,0.0365643501,0.0404153466,0.0361351334,0.0369595326,0.0,0.0166222956,0.429256171,0.4758612514,0.0,0.0,0.070004791,0.0733462051,0.0453396998,0.0434621647,0.0580630265,0.0279323086,0.2208752334,0.1374103427,0.0754827559,0.08362104,0.0476566106,0.0415683761,0.0432938002,0.0508688875,0.2115473002,0.2115374207,0.0479213297,0.0,0.0,0.0298242569,0.1889721304,0.2070719898,0.1323958635,0.1591833979,1.0176e-06,0.0,0.0,0.0,0.004324086,-0.009148444,-3.95596e-05,0.0734789222,-0.0091401199,-0.0006710207
1845,06:10:47:06.224,61,0.0073307394,0.0,0.1199038476,0.0,0.0244356859,0.1912798136,0.0,0.0074920859,0.0,0.0,0.0067045786,0.0245203804,0.1912974119,0.0,0.0273642559,0.0080529535,0.0,0.0366215184,0.0405439772,0.0361517966,0.036857646,0.0,0.016546458,0.4306954443,0.4769186676,0.0,0.0,0.0702079013,0.0735266134,0.0453241765,0.043382939,0.0580383129,0.0279863644,0.2183806002,0.1360720098,0.0750627667,0.083171472,0.0479419604,0.0418290123,0.0433798507,0.050975237,0.2123566419,0.2123353332,0.0480179302,0.0,0.0,0.0296906065,0.1890705377,0.2072654665,0.1324532777,0.1590705961,9.795e-07,0.0,0.0,0.0,0.0040953602,-0.0106991231,-4.38183e-05,0.0732409284,-0.0106907412,-0.0007823296
1846,06:10:47:07.226,61,0.007091139,0.0,0.1196424142,0.0,0.0275273025,0.1961374432,0.0,0.0072420891,0.0,0.0,0.0064710807,0.0276199207,0.1961607039,0.0,0.0273435451,0.0080974288,0.0,0.0366767123,0.040657673,0.0362442732,0.0368330628,0.0,0.0163668822,0.4308379292,0.4750445187,0.0,0.0,0.0703847706,0.0736527368,0.0453655683,0.0433668494,0.0579879694,0.0280155186,0.2172184587,0.135350883,0.0747392774,0.0828199387,0.048146043,0.0420135334,0.0434582606,0.0510492101,0.214572072,0.2145358026,0.0481609851,0.0,0.0,0.0296048354,0.1893226802,0.2075951695,0.1324308068,0.1588091999,8.056e-07,0.0,0.0,0.0,0.0039526713,-0.0120515581,-4.7638e-05,0.073080115,-0.0120431976,-0.0008793772
1847,06:10:47:08.227,61,0.0068543451,0.0,0.1190792397,0.0,0.0309191737,0.1993348897,0.0,0.0069952514,0.0,0.0,0.0059442869,0.0310199875,0.199367851,0.0,0.0273635145,0.008167685,0.0,0.0367562585,0.040768683,0.0363939926,0.0367959738,0.0,0.0161106177,0.4232364297,0.465503931,0.0,0.0,0.0705587044,0.0737630054,0.0454019606,0.0433385186,0.058006417,0.0281067025,0.2165690064,0.1347773969,0.0745387524,0.082608521,0.0483125001,0.0421543494,0.0434696712,0.0510431193,0.218350023,0.2183134109,0.0482829586,0.0,0.0,0.0295812618,0.1894955784,0.207937479,0.1324093342,0.1585858911,4.513e-07,0.0,0.0,0.0,0.0036308258,-0.0135351112,-4.91465e-05,0.0727347434,-0.0135268001,-0.0009830608
