FaceBlendShape.Unnamed: 0,FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
191,16:21:39:21.804,61.0,0.0,0.126585648,0.104487032,0.0,0.0,0.03301619,0.306750655,0.0,0.126736879,0.015449815,0.0,0.0,0.033018783,0.30774799,0.027624521,0.007735491,0.0,0.019535553,0.0224352,0.036990613,0.086428829,0.007539852,0.0,0.0,0.0,0.071271859,0.066965804,0.013463143,0.013789279,0.05436353,0.058975685,0.064205818,0.011236992,0.241850719,0.182936639,0.091318734,0.086304598,0.021700099,0.020623388,0.046048846,0.04349529,0.0,0.0,0.35992226,0.121086426,0.125264987,0.038461104,0.067750625,0.064565353,0.099939831,0.099254705,2.3e-09,0.032015774,0.087895174,-0.017171141,-0.009409485,0.077422589,-0.000729955,0.063636527,0.07748393,0.004937325
192,16:21:39:22.805,61.0,0.0,0.127053216,0.105016395,0.0,0.0,0.032389384,0.305822492,0.0,0.127208367,0.014877683,0.0,0.0,0.032391921,0.306801438,0.027032657,0.007996585,0.0,0.019396218,0.022221947,0.036498167,0.085809656,0.007364305,0.0,0.0,0.0,0.070952654,0.066521123,0.013505659,0.013857469,0.054049112,0.058661535,0.063197345,0.01120366,0.241030231,0.182286248,0.090821348,0.085807934,0.021462563,0.020415861,0.045455977,0.042936683,0.0,0.0,0.358914346,0.124865294,0.128928915,0.038203735,0.066666476,0.063607179,0.09935575,0.098741084,2.3e-09,0.032161657,0.090471526,-0.016765235,-0.009060832,0.07771036,-0.000705532,0.063957483,0.077771731,0.004980699
193,16:21:39:23.807,61.0,0.0,0.127256364,0.105354853,0.0,0.0,0.031783082,0.305223078,0.0,0.127413854,0.014492374,0.0,0.0,0.031785559,0.306188464,0.026474861,0.008281674,0.0,0.019266093,0.022018213,0.035993025,0.085107103,0.007153472,0.0,0.0,0.0,0.070440404,0.065867715,0.013551295,0.013930399,0.053774037,0.058390427,0.062340543,0.01117717,0.240300775,0.181513533,0.090202898,0.085199848,0.021229168,0.020211734,0.044867382,0.042380549,0.0,0.0,0.358782351,0.13068898,0.134695694,0.037882455,0.065773599,0.062778652,0.098788329,0.098229006,2.1e-09,0.032644935,0.092901667,-0.016209664,-0.008826084,0.077835716,-0.000688366,0.064162992,0.077897109,0.005004769
194,16:21:39:24.808,61.0,0.0,0.127805322,0.105772205,0.0,0.0,0.031256434,0.305426806,0.0,0.127966508,0.014032478,0.0,0.0,0.031258863,0.306381732,0.0260345,0.008538139,0.0,0.019186162,0.021871653,0.035656288,0.084723778,0.006995468,0.0,0.0,0.0,0.07008975,0.065390833,0.013624589,0.014028466,0.053654846,0.058277197,0.061806791,0.011171053,0.240438685,0.181274161,0.089840144,0.08482682,0.021070117,0.020076459,0.044426948,0.041955754,0.0,0.0,0.371629059,0.134175733,0.13818793,0.037703555,0.065181546,0.062198971,0.09841603,0.09790469,2e-09,0.032476235,0.095823151,-0.015724102,-0.008545779,0.078173176,-0.000669406,0.0644155,0.078234427,0.005046281
195,16:21:39:25.810,61.0,0.0,0.127243683,0.105994076,0.0,0.0,0.030717615,0.301380694,0.0,0.127405062,0.013762461,0.0,0.0,0.030719984,0.302303195,0.025495522,0.008741811,0.0,0.019038275,0.021649864,0.035131861,0.083936527,0.006799797,0.0,0.0,0.0,0.069475964,0.064753331,0.013679249,0.01410799,0.05332477,0.05795642,0.060948618,0.011147371,0.23915109,0.179420039,0.089224897,0.08421512,0.020832719,0.019864153,0.043826442,0.041384541,0.0,0.0,0.370222211,0.136226937,0.140234813,0.037361879,0.064293914,0.061358899,0.097786889,0.097310238,2.1e-09,0.032383941,0.0972563,-0.015391588,-0.00838156,0.077830069,-0.00065365,0.064552337,0.077891298,0.005034717
196,16:21:39:26.811,61.0,0.0,0.12732935,0.106177315,0.0,0.0,0.030175099,0.29875043,0.0,0.1274921,0.013546287,0.0,0.0,0.030177401,0.299631238,0.024919286,0.008921494,0.0,0.018868357,0.021417288,0.03454376,0.082730644,0.006611838,0.0,0.0,0.0,0.068815902,0.064087421,0.01368323,0.01413319,0.052895092,0.057524853,0.059692185,0.011107596,0.233771622,0.1750938,0.087757625,0.082860172,0.020559724,0.01961931,0.043180015,0.040770643,0.0,0.0,0.360405296,0.138821781,0.142737582,0.036939688,0.063282549,0.06048125,0.096996859,0.096628659,1.9e-09,0.032428313,0.098400381,-0.01549474,-0.008249874,0.077883169,-0.000643821,0.064663656,0.077944301,0.005046835
197,16:21:39:27.813,61.0,0.0,0.12737678,0.106216118,0.0,0.0,0.029716557,0.292493731,0.0,0.127539724,0.013482012,0.0,0.0,0.029718796,0.293377221,0.024401361,0.009044364,0.0,0.018704409,0.021186333,0.034006409,0.081934601,0.006433837,0.0,0.0,0.0,0.068419486,0.06383954,0.013716357,0.014190583,0.05253559,0.057188466,0.058869012,0.011075329,0.232149825,0.173616916,0.086999171,0.082120851,0.020307489,0.019397115,0.042586595,0.040200997,0.0,0.0,0.356172115,0.14009276,0.14399679,0.03654908,0.06253732,0.059755344,0.09637548,0.096039876,2e-09,0.032634083,0.098992889,-0.015386243,-0.00821071,0.077912234,-0.000641005,0.06468714,0.07797347,0.00505056
198,16:21:39:28.815,61.0,0.0,0.1272991,0.106569178,0.0,0.0,0.029272631,0.287387192,0.0,0.127464011,0.013115316,0.0,0.0,0.029274806,0.288267613,0.02393082,0.009143061,0.0,0.018567234,0.020986933,0.03353101,0.081253931,0.006282109,0.0,0.0,0.0,0.067997694,0.063569337,0.013751589,0.014249379,0.052202221,0.056877643,0.058188297,0.011051537,0.231116518,0.172583371,0.086359538,0.081485622,0.020086438,0.019201495,0.042034324,0.039672472,0.0,0.0,0.354335189,0.140956998,0.144860074,0.036184516,0.061893888,0.059102498,0.095805116,0.095486261,2.1e-09,0.033133365,0.098539126,-0.015524484,-0.007987416,0.077865832,-0.0006232,0.064902403,0.077927001,0.005064312
199,16:21:39:29.816,61.0,0.0,0.12780337,0.106904589,0.0,0.0,0.028814878,0.284062713,0.0,0.127971187,0.012759084,0.0,0.0,0.028816991,0.284904093,0.023412025,0.009262831,0.0,0.018392487,0.020750905,0.032961484,0.080416329,0.006122198,0.0,0.0,0.0,0.06756781,0.063209653,0.013762318,0.014278343,0.051823236,0.056504875,0.057219062,0.011002692,0.228925794,0.170895085,0.085271105,0.080482848,0.019835418,0.018972239,0.041433707,0.039101936,0.0,0.0,0.351343572,0.142401636,0.146226883,0.035739783,0.061129246,0.058373082,0.095006056,0.094778478,2e-09,0.033711966,0.098376949,-0.015727162,-0.007770278,0.078175522,-0.00060868,0.065105118,0.078236736,0.00510038
200,16:21:39:30.818,61.0,0.0,0.126928121,0.107754029,0.0,0.0,0.028424799,0.274159312,0.0,0.127099082,0.011865161,0.0,0.0,0.028426841,0.274989069,0.022920767,0.009322314,0.0,0.018225059,0.020526381,0.032463517,0.079791203,0.005991855,0.0,0.0,0.0,0.067170359,0.062963665,0.013766862,0.014301675,0.051415205,0.05610482,0.056449149,0.01095468,0.227915332,0.169988886,0.084596917,0.079823762,0.019591685,0.018751102,0.040889796,0.038579963,0.0,0.0,0.348899126,0.142838508,0.14665018,0.035353765,0.060475923,0.057704788,0.094378382,0.094163485,2.1e-09,0.034131266,0.098500204,-0.015897682,-0.00722618,0.077642448,-0.000562184,0.065625161,0.077703595,0.005105887
201,16:21:39:31.819,61.0,0.0,0.126226381,0.108549714,0.0,0.0,0.028036982,0.249682695,0.0,0.126400247,0.011024585,0.0,0.0,0.028038969,0.25045383,0.022452252,0.009343272,0.0,0.018065836,0.020310674,0.032010812,0.079229511,0.005887095,0.0,0.0,0.0,0.066677712,0.062683687,0.013792427,0.014349099,0.051009502,0.055710036,0.055761032,0.010909825,0.227260754,0.169335321,0.08408346,0.079329297,0.019354219,0.018535221,0.040407695,0.038121946,0.0,0.0,0.346169382,0.141196996,0.144949183,0.034973636,0.059872676,0.05708646,0.093842283,0.093624175,2e-09,0.034354996,0.098175515,-0.016224505,-0.00671447,0.077215269,-0.000519489,0.066111945,0.077276476,0.005115318
202,16:21:39:32.821,61.0,0.0,0.126869381,0.109626696,0.0,0.0,0.027507959,0.158504188,0.0,0.127050683,0.00996226,0.0,0.0,0.027509894,0.159142897,0.021785904,0.009334753,0.0,0.017780323,0.019942183,0.031368997,0.078612492,0.005660716,0.0,0.0,0.0,0.067009978,0.06479419,0.013857619,0.014456377,0.049925569,0.054567102,0.053386081,0.010816261,0.226552948,0.168820009,0.083756365,0.079026401,0.018983578,0.018205026,0.039837837,0.037611377,0.0,0.0,0.301797152,0.111319922,0.115011826,0.034348939,0.056362636,0.05369737,0.093246855,0.092995629,1.7e-09,0.034514103,0.098198463,-0.016285095,-0.00606728,0.077612288,-0.00047184,0.06676583,0.077673517,0.005192485
203,16:21:39:33.823,61.0,0.117411703,0.171093494,0.109144278,0.0,0.0,0.027577333,0.0,0.117120296,0.171365529,0.010400935,0.0,0.0,0.027579226,0.0,0.021053929,0.009067665,0.0,0.017566534,0.019640043,0.031023935,0.078143857,0.005215258,0.0,0.0,0.0,0.064919077,0.064229347,0.014094063,0.014772471,0.049271636,0.053975314,0.05246333,0.010766903,0.227515459,0.168998465,0.084317267,0.07939367,0.018673228,0.017968914,0.039493945,0.037324466,0.0,0.0,0.289195597,0.078924261,0.081107743,0.033682048,0.055037666,0.05239071,0.093241297,0.092876412,1.7e-09,0.034943622,0.099851836,-0.016304718,-0.00631879,0.104683355,-0.000663895,0.066308104,0.104746096,0.006965809
204,16:21:39:34.824,61.0,0.351541609,0.361860663,0.084070861,0.0,0.0,0.036694251,0.0,0.351280451,0.362122744,0.036607154,0.0,0.0,0.036695458,0.0,0.020201549,0.00854797,0.0,0.01733611,0.019314671,0.030440029,0.070699349,0.004670244,0.0,0.0,0.0,0.05017845,0.04659595,0.014399311,0.015167702,0.048068553,0.052829754,0.05162973,0.01075876,0.218827665,0.163343847,0.084686473,0.079595402,0.018373387,0.017769555,0.039028801,0.036940265,0.0,0.0,0.241088986,0.063505754,0.06495253,0.031219609,0.05424729,0.051679861,0.093261033,0.092809603,1.6e-09,0.03521115,0.10463648,-0.015718449,-0.021817057,0.221261725,-0.004907201,0.050105322,0.221330524,0.01126935
205,16:21:39:35.825,61.0,0.852008104,0.273532867,0.075189047,0.0,0.0,0.04736691,0.0,0.851316929,0.273619711,0.042455521,0.0,0.0,0.04736726,0.0,0.019455694,0.008121681,0.0,0.016970873,0.018840196,0.028579785,0.05340007,0.004040766,0.0,0.0,0.0,0.050884005,0.043174915,0.014515808,0.015361716,0.044449188,0.04696748,0.05082142,0.010636134,0.202205211,0.154631704,0.116088964,0.103028365,0.01799212,0.017486781,0.038433515,0.036440264,0.0,0.0,0.211200625,0.048287883,0.048917018,0.030055266,0.053949285,0.051662833,0.093038268,0.092668168,3.6e-09,0.034091063,0.107394216,-0.014303146,-0.025573093,0.167199954,-0.004315618,0.045290247,0.167264849,0.00764415
