FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:01:57.924,61,0.0,0.0,0.047791965,0,0.065948486,0.226457492,0.302415729,0.0,0.0,0.072579317,0.0,0.066029899,0.226458892,0.302687138,0.021379272,0.0,0.027461318,0.029955676,0.04546047,0.035938565,0.089964032,0.0,0.000833609,0.081743844,0.054876119,0.0,0.0,0.017927598,0.018929139,0.036097877,0.041468844,0.085385174,0.025715092,0.186707914,0.141395822,0.107842222,0.10338226,0.087397143,0.078714438,0.103974633,0.099955089,0.769995809,0.769722521,0.01517604,0.0,0.0,0.019585284,0.137471154,0.144136146,0.539446771,0.513579726,2.4e-09,0.018074904,-0.10785354999999996,-0.006197845,-0.044317775,-0.028839305,0.001278029,0.029182363,-0.028787715,-0.000840206
16:22:01:58.925,61,0.0,0.0,0.048243508,0,0.066456921,0.228561193,0.302543461,0.0,0.0,0.072138809,0.0,0.066539161,0.228562191,0.302812934,0.021406734,0.0,0.027641276,0.030008897,0.045581661,0.035851825,0.08963079,0.0,0.000853288,0.081975043,0.055182032,0.0,0.0,0.017856536,0.018845165,0.036079399,0.04149032,0.085303545,0.025816508,0.186537519,0.141211197,0.107742019,0.103299543,0.087811291,0.079078868,0.104023978,0.09997499,0.771018982,0.770764053,0.014957826,0.0,0.0,0.019533847,0.137420386,0.144086793,0.5406093,0.514667571,2.2e-09,0.018820256,-0.10735254299999997,-0.00626223,-0.044048511,-0.029061383,0.001280056,0.029457891,-0.029009892,-0.000854686
16:22:01:59.927,61,0.0,0.0,0.047588699,0,0.065905593,0.229959965,0.302451462,0.0,0.0,0.072806917,0.0,0.065986186,0.22996071,0.302719832,0.021427365,0.0,0.027914323,0.030086216,0.045749825,0.035758603,0.089262903,0.0,0.000746438,0.082077935,0.055245917,0.0,0.0,0.017785812,0.018753303,0.036129113,0.041571841,0.085216261,0.025874035,0.186170206,0.140859962,0.107486069,0.103066832,0.08829952,0.079506569,0.104124881,0.100031979,0.772051215,0.771810591,0.014795027,0.0,0.0,0.019460561,0.137510568,0.14416042,0.541550696,0.515557706,1.9e-09,0.019010529,-0.107523757,-0.005971222,-0.04445678,-0.028820392,0.001281194,0.029058259,-0.028768882,-0.000836087
16:22:02:00.928,61,0.0,0.0,0.047967851,0,0.065151535,0.231789306,0.3013134,0.0,0.0,0.072431848,0.0,0.065233775,0.231789768,0.301574677,0.021441888,0.0,0.028170917,0.030154657,0.045904391,0.035655916,0.088960148,0.0,0.000681657,0.082311563,0.055547584,0.0,0.0,0.017725239,0.018674657,0.036165007,0.041623704,0.085195921,0.025948696,0.18560715,0.140331402,0.107262693,0.102873988,0.088824533,0.079975933,0.104173355,0.100064896,0.774982154,0.774762213,0.014647146,0.0,0.0,0.019413563,0.137599915,0.144228682,0.542046309,0.516061068,1.9e-09,0.018719398,-0.10818209099999998,-0.005617538,-0.044228163,-0.028491473,0.001260055,0.02929005,-0.02843992,-0.000833112
16:22:02:01.930,61,0.0,0.0,0.047753464,0,0.063960902,0.23299636,0.298915952,0.0,0.0,0.072647981,0.0,0.06404341,0.232996717,0.299168974,0.02144368,0.0,0.028418152,0.030212626,0.046041124,0.035600748,0.088754214,0.0,0.000694422,0.082382657,0.055730376,0.0,0.0,0.017660458,0.018599391,0.036217269,0.041701138,0.085208878,0.026003376,0.185210243,0.139914602,0.107169479,0.102807954,0.089295231,0.080421172,0.104245149,0.100153662,0.781314492,0.781129539,0.014504091,0.0,0.0,0.019383414,0.137646541,0.144311756,0.543129861,0.517549753,2.3e-09,0.018665865,-0.10839616099999999,-0.004773911,-0.04436079,-0.02797173,0.001240764,0.02915957,-0.027920079,-0.000814234
16:22:02:02.931,61,0.0,0.0,0.048137832,0,0.063292086,0.234958008,0.29678914,0.0,0.0,0.072252922,0.0,0.063376233,0.234958127,0.297035307,0.021464489,0.0,0.0286939,0.030264806,0.046170745,0.035555825,0.08853168,0.0,0.000673394,0.082370356,0.055776175,0.0,0.0,0.01758888,0.018515969,0.036281627,0.041788071,0.085318729,0.026043247,0.18498151,0.139617682,0.10717833,0.102840178,0.089774728,0.080857374,0.104418263,0.100322314,0.787260354,0.787091076,0.014378753,0.0,0.0,0.01935848,0.137799457,0.144444615,0.545458734,0.519611418,1.7e-09,0.018429542,-0.10952462600000001,-0.00394761,-0.044119917,-0.027680041,0.001221156,0.029394513,-0.027628319,-0.000812211
16:22:02:03.933,61,0.0,0.0,0.048044298,0,0.062900305,0.236349419,0.294336557,0.0,0.0,0.072341755,0.0,0.062984183,0.236349464,0.294573456,0.021485928,0.0,0.028959364,0.030329816,0.046313185,0.035572235,0.088591084,0.0,0.000615914,0.082344376,0.055767495,0.0,0.0,0.017512735,0.018425131,0.036312204,0.041826721,0.085411429,0.026083857,0.184659421,0.139225602,0.107248448,0.102930561,0.090238355,0.081268989,0.104515642,0.100424811,0.792364538,0.792208016,0.014250018,0.0,0.0,0.019365385,0.137933463,0.144584447,0.546373189,0.520513117,2e-09,0.018280393,-0.10958604799999999,-0.003220951,-0.044174366,-0.027508874,0.001215098,0.029337535,-0.027457254,-0.000805615
16:22:02:04.935,61,0.0,0.0,0.048054297,0,0.061445478,0.238598481,0.287581444,0.0,0.0,0.072335914,0.0,0.061530445,0.238598496,0.287814409,0.021458589,0.0,0.029172616,0.030344762,0.046393383,0.035537351,0.088558361,0.0,0.000609872,0.082390532,0.055933572,0.0,0.0,0.017432487,0.018336594,0.036347773,0.041868292,0.085425653,0.026086479,0.184064701,0.138559774,0.107235566,0.102939323,0.090700246,0.08169961,0.104532056,0.100467518,0.802789092,0.802648664,0.014125784,0.0,0.0,0.019367388,0.137998074,0.144649595,0.546762824,0.520899594,2.2e-09,0.017967464,-0.10983102299999997,-0.002620356,-0.044171557,-0.026873939,0.001186963,0.029344147,-0.026822195,-0.00078715
16:22:02:05.936,61,0.0,0.0,0.048041955,0,0.061650656,0.243782029,0.274918824,0.0,0.0,0.072356954,0.0,0.061735351,0.243781611,0.275181681,0.02146765,0.0,0.029380424,0.030444644,0.046580382,0.035604168,0.088930897,0.0,0.000653551,0.081334919,0.05552882,0.0,0.0,0.017342318,0.018236075,0.036333099,0.041835554,0.085567266,0.026142281,0.183387622,0.137533039,0.107475296,0.103181489,0.091154613,0.082142785,0.104275025,0.100282684,0.80823946,0.808099568,0.014036351,0.0,0.0,0.019404344,0.138195485,0.14480409,0.546542049,0.520771861,1.6e-09,0.017638894,-0.11006202100000001,-0.002198583,-0.044184305,-0.026963448,0.001191262,0.029336544,-0.026911754,-0.000789575
16:22:02:06.938,61,0.0,0.0,0.047883838,0,0.060987309,0.248487055,0.266437501,0.0,0.0,0.072539017,0.0,0.061072003,0.248486087,0.266709715,0.021471851,0.0,0.029606644,0.030560473,0.04679434,0.035697505,0.089434639,0.0,0.000647358,0.080617815,0.055013295,0.0,0.0,0.017256957,0.018137626,0.03631676,0.041789439,0.085689306,0.026208473,0.181727946,0.135498419,0.107684314,0.103390776,0.091713511,0.082662344,0.103914082,0.099978946,0.813667655,0.813527465,0.013975689,0.0,0.0,0.019440657,0.138370007,0.144895196,0.546076298,0.520349443,1.2e-09,0.017358836,-0.11084212700000001,-0.002114151,-0.044295829,-0.026673857,0.001181434,0.029240215,-0.026622113,-0.000778509
