FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:23:17.925,61.0,0.0,0.001046385,0.103192575,0.0,0.0,0.074484818,0.727348745,0.0,0.000962081,0.015030719,0.0,0.0,0.074488863,0.727511168,0.063970111,0.015300025,0.0,0.106157526,0.125240579,0.085509203,0.129317895,0.001984176,0.0,0.0,0.0,0.218430653,0.197365329,0.011832703,0.011223887,0.093862757,0.093110748,0.072778225,0.038230535,0.068818547,0.031092437,0.027054334,0.026197128,0.068392009,0.061550632,0.009565396,0.009775785,0.0,0.0,0.824249387,0.67010653,0.670618594,0.030802064,0.058898244,0.062987022,0.044156916,0.049506914,5.3e-09,0.033517875,-0.005855071,-0.00354391,-0.009181743,0.000587727,-5.4e-06,0.06303674,0.000640472,4.03e-05
16:22:23:18.927,61.0,0.0,0.001160742,0.102803044,0.0,0.0,0.074519046,0.727296889,0.0,0.001076633,0.015442919,0.0,0.0,0.074523114,0.727456808,0.063968018,0.015257052,0.0,0.106133461,0.125155136,0.085532382,0.129230082,0.001941542,0.0,0.0,0.0,0.218424857,0.197284207,0.011828683,0.011218588,0.093941167,0.093202665,0.072691716,0.038204961,0.068912685,0.03116044,0.027072817,0.026220676,0.068261839,0.061450303,0.009559473,0.009774849,0.0,0.0,0.823252678,0.669092119,0.669595301,0.030845447,0.058842521,0.062972635,0.04418068,0.049549028,4.2e-09,0.033809412,-0.005003113,-0.003482496,-0.009433541,0.000657707,-6.2e-06,0.062798798,0.000710457,4.46e-05
16:22:23:19.928,61.0,0.0,0.001001501,0.102581881,0.0,0.0,0.074570648,0.727634013,0.0,0.000917197,0.015670804,0.0,0.0,0.074574739,0.727791667,0.063932598,0.015273761,0.0,0.106156647,0.125108883,0.08560025,0.129484564,0.00184154,0.0,0.0,0.0,0.218549416,0.197285637,0.011817449,0.01120462,0.093973309,0.093233854,0.072559804,0.038179074,0.068994522,0.031220339,0.027084714,0.026238363,0.068097226,0.061320055,0.009541984,0.009762513,0.0,0.0,0.822484076,0.668410957,0.668911457,0.030907542,0.058798067,0.06297455,0.04418407,0.049567457,4.2e-09,0.034203623,-0.004415277,-0.003131547,-0.009572749,0.000560309,-5.36e-06,0.062663697,0.000612985,3.84e-05
16:22:23:20.930,61.0,0.0,0.000889486,0.102594711,0.0,0.0,0.074636042,0.728023887,0.0,0.000804987,0.015665578,0.0,0.0,0.074640118,0.728180587,0.063911609,0.015342189,0.0,0.106013566,0.12488842,0.085495435,0.129460618,0.001771405,0.0,0.0,0.0,0.218855992,0.197442934,0.011794294,0.011179167,0.093963459,0.093204051,0.072399914,0.038100477,0.069054849,0.031277966,0.027064927,0.026225278,0.067902803,0.061151829,0.009525019,0.009750767,0.0,0.0,0.822057426,0.668003917,0.668505549,0.030935448,0.058732707,0.062941231,0.044166252,0.049562369,4.1e-09,0.034463655,-0.003978911,-0.002842363,-0.009569557,0.000491761,-4.71e-06,0.062671535,0.000544425,3.41e-05
16:22:23:21.931,61.0,0.0,0.00146771,0.102534197,0.0,0.0,0.074657306,0.728340924,0.0,0.001384382,0.015722854,0.0,0.0,0.074661337,0.728496373,0.063876554,0.015371382,0.0,0.105875336,0.124684975,0.085356675,0.129406273,0.001690156,0.0,0.0,0.0,0.218982786,0.197438419,0.011773438,0.011158006,0.093900673,0.09314175,0.072277226,0.038026352,0.069107287,0.031338394,0.027048379,0.026212657,0.067726567,0.06099724,0.00952496,0.009754346,0.0,0.0,0.821684003,0.667706609,0.66820854,0.030931372,0.058720052,0.062959783,0.044175834,0.049587533,4.4e-09,0.03499493,-0.003363299,-0.002488063,-0.009604542,0.00084571,-8.12e-06,0.06263455,0.000898335,5.62e-05
16:22:23:22.933,61.0,0.0,0.001549672,0.102162994,0.0,0.0,0.074691229,0.728649676,0.0,0.001466344,0.016087465,0.0,0.0,0.074695222,0.72880441,0.063857824,0.015409435,0.0,0.105689906,0.124427982,0.08526627,0.129433602,0.00162281,0.0,0.0,0.0,0.21932298,0.197681502,0.011746711,0.011131832,0.093857773,0.093094528,0.072135396,0.037943147,0.069179297,0.031405523,0.027041636,0.026208745,0.06753137,0.060829233,0.009516086,0.009748211,0.0,0.0,0.821448982,0.667528689,0.668031752,0.0309678,0.058676917,0.06294214,0.044165276,0.049584802,4.4e-09,0.035303369,-0.00369181,-0.002364994,-0.00982727,0.000895782,-8.8e-06,0.062407795,0.000948487,5.92e-05
16:22:23:23.934,61.0,0.0,0.002005148,0.102273166,0.0,0.0,0.074683353,0.728967726,0.0,0.001922796,0.015979888,0.0,0.0,0.07468728,0.729121387,0.063878439,0.01546459,0.0,0.105536051,0.124189779,0.085075744,0.129342958,0.001541528,0.0,0.0,0.0,0.219598249,0.197796255,0.011719801,0.011105787,0.093776554,0.093009286,0.072068557,0.037889175,0.069258064,0.031474154,0.027032197,0.026204206,0.067341782,0.060666449,0.009510177,0.009746569,0.0,0.0,0.821110427,0.667308211,0.667812049,0.030994972,0.058599651,0.062885098,0.044159818,0.049590603,3.9e-09,0.035195828,-0.003737497,-0.002370276,-0.009761551,0.001174625,-1.15e-05,0.062475082,0.00122727,7.66e-05
16:22:23:24.936,61.0,0.0,0.002674117,0.102278389,0.0,0.0,0.074682489,0.729231775,0.0,0.002592935,0.015972897,0.0,0.0,0.074686334,0.729384244,0.063861795,0.015511468,0.0,0.10525056,0.123799719,0.084835269,0.12914525,0.001452092,0.0,0.0,0.0,0.219930753,0.197981343,0.011687245,0.011074558,0.093641177,0.09287855,0.071977526,0.037802633,0.069335602,0.031543247,0.027023105,0.026197683,0.067103133,0.060453504,0.009499551,0.009740121,0.0,0.0,0.82095629,0.667283058,0.667786658,0.031038312,0.058506146,0.062808305,0.04414263,0.049583018,3.6e-09,0.035434462,-0.003950942,-0.002374067,-0.009757277,0.00158401,-1.55e-05,0.062478229,0.001636718,0.000102193
16:22:23:25.937,61.0,0.0,0.003275173,0.102594242,0.0,0.0,0.074587412,0.729615092,0.0,0.003195162,0.015660932,0.0,0.0,0.074591167,0.729766965,0.063892201,0.015479971,0.0,0.10513708,0.123634979,0.084729478,0.129186869,0.001407917,0.0,0.0,0.0,0.220015883,0.198040962,0.011674696,0.011060265,0.093537606,0.092797555,0.071928412,0.037780572,0.069377877,0.031587921,0.027029954,0.026203543,0.066995218,0.060363125,0.009492037,0.009734868,0.0,0.0,0.820721328,0.667191804,0.667695582,0.031083377,0.05843728,0.062738881,0.04411532,0.049558971,3e-09,0.035384379,-0.00369032,-0.002249463,-0.009566701,0.001951903,-1.87e-05,0.06267114,0.002004625,0.00012555
16:22:23:26.939,61.0,0.0,0.003931262,0.102718599,0.0,0.0,0.074506864,0.730138838,0.0,0.003852421,0.015545834,0.0,0.0,0.074510552,0.730290473,0.063931003,0.015492675,0.0,0.105118677,0.123561256,0.084710434,0.129411429,0.001367241,0.0,0.0,0.0,0.220137924,0.198075861,0.011667311,0.011050509,0.093442962,0.092696801,0.071924321,0.037798926,0.069454014,0.031642672,0.02704818,0.026227171,0.066909693,0.060287811,0.009485393,0.009729914,0.0,0.0,0.820452511,0.667134702,0.667639077,0.031145694,0.058413643,0.062729895,0.044102531,0.04954958,3.6e-09,0.035536468,-0.003805327,-0.002127675,-0.009496385,0.002353417,-2.23e-05,0.062747039,0.002406207,0.000150884
