FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:21:20:32.037,61,1.88e-07,0.083492808,0.092597112,0.0,0.0,0.024248447,0.094276182,1.89e-07,0.083516426,0.027699145,0.0,0.0,0.024250692,0.09447661,0.005015564,0.012193198,0,0.009493185,0.009325688,0.007084535,0.037569683,0.0,0.00024862,0.035797395,0.039172385,0,0,0.020723581,0.021532325,0.021005582,0.022217285,0.018224971,0.009518167,0.108288117,0.088524789,0.048849925,0.048640456,0.009119217,0.008893088,0.016317738,0.016662568,0.017793685,0.017373806,0.024203733,0,0,0.014851945,0.024769481,0.0267375,0.053999942,0.055952787,1e-10,0.025051039,0.068117198,-0.030069219,-0.016898429,0.051024579,-0.000862943,0.056490727,0.051084414,0.002886765
16:21:20:33.038,61,1.73e-07,0.083331622,0.092368126,0.0,0.0,0.023850724,0.094659515,1.74e-07,0.083354063,0.027942549,0.0,0.0,0.02385293,0.09486264,0.004895228,0.012191795,0,0.009376201,0.009250353,0.006991522,0.03741426,9.32e-05,0.0,0.034358904,0.037491236,0,0,0.020158043,0.020954162,0.020673569,0.021858029,0.017836385,0.009392977,0.106868655,0.087480024,0.048170514,0.047952142,0.008938528,0.008707931,0.01594514,0.016266929,0.016560886,0.016142581,0.023957726,0,0,0.014689854,0.02429476,0.026222795,0.053375948,0.055309426,2e-10,0.024384694,0.068083254,-0.029605951,-0.017047009,0.050925504,-0.000868837,0.056351312,0.050985392,0.002874057
16:21:20:34.040,61,1.59e-07,0.083293565,0.091388755,0.0,0.0,0.023470277,0.094954886,1.6e-07,0.083312295,0.028973898,0.0,0.0,0.023472453,0.095160194,0.004780165,0.012192633,0,0.009265308,0.009181864,0.006898413,0.037255462,0.00038755,0.0,0.032846157,0.035825275,0,0,0.019606158,0.020388983,0.020348562,0.021509986,0.017458465,0.00927211,0.105359472,0.08636038,0.047490325,0.04726585,0.00876891,0.008534187,0.015587982,0.015888115,0.015462264,0.015044829,0.023691235,0,0,0.014521473,0.023826111,0.025718397,0.052772347,0.05467971,2e-10,0.024303805,0.068290141,-0.029163364,-0.017676231,0.050900545,-0.000900461,0.055753894,0.050960403,0.002842222
16:21:20:35.041,61,1.47e-07,0.083464712,0.091422319,0.0,0.0,0.023097947,0.095373526,1.47e-07,0.083483838,0.028953185,0.0,0.0,0.023100091,0.095580213,0.004671161,0.012202332,0,0.009156936,0.009112001,0.006807065,0.037050922,0.000686005,0.0,0.031829987,0.03477376,0,0,0.01909926,0.019867132,0.020055035,0.021189623,0.017099913,0.009157125,0.104363203,0.085496977,0.046835281,0.046605352,0.008608751,0.008370319,0.01524629,0.015526234,0.014184383,0.013767123,0.023470169,0,0,0.014364152,0.023377622,0.02523656,0.052178066,0.054067157,1e-10,0.023986654,0.068166208,-0.028894045,-0.017663499,0.051005337,-0.000901668,0.055774078,0.051065177,0.002849106
16:21:20:36.043,61,1.35e-07,0.083007865,0.090823986,0.0,0.0,0.022774333,0.095849983,1.35e-07,0.083024062,0.029563634,0.0,0.0,0.022776457,0.096059516,0.004572839,0.012222916,0,0.009062684,0.009050544,0.006716161,0.036801875,0.00101246,0.0,0.030977601,0.033868279,0,0,0.018624976,0.01937533,0.019778222,0.020883046,0.016772281,0.009057307,0.103158116,0.084529571,0.046193387,0.04595869,0.008465116,0.008221804,0.014915885,0.015177075,0.012908291,0.012489209,0.023280034,0,0,0.014209682,0.022960471,0.024783276,0.051591933,0.053451493,1e-10,0.023906523,0.068695334,-0.028444616,-0.018036174,0.050724778,-0.000915617,0.055409845,0.050784636,0.002814942
16:21:20:37.045,61,1.24e-07,0.082297526,0.08989042,0.0,0.0,0.022462944,0.096351527,1.25e-07,0.082309239,0.030494213,0.0,0.0,0.022465061,0.096563131,0.004473427,0.012341073,0,0.008972265,0.008994253,0.006625662,0.036541443,0.00127297,0.0,0.030089397,0.033196781,0,0,0.018163346,0.018900514,0.019505817,0.02057757,0.016443145,0.008957557,0.101105943,0.082928635,0.0455002,0.045268688,0.008328325,0.008081607,0.014587341,0.014835232,0.011350732,0.010959443,0.023115661,0,0,0.014036287,0.022549393,0.024350233,0.050996907,0.052841652,1e-10,0.023572033,0.06828512,-0.028317351,-0.01860431,0.050288573,-0.000936319,0.054841496,0.050348464,0.002762128
16:21:20:38.046,61,1.14e-07,0.081388921,0.089402184,0.0,0.0,0.022178795,0.097494446,1.15e-07,0.081397891,0.030959452,0.0,0.0,0.022180909,0.097708635,0.004382088,0.012428231,0,0.008897581,0.008950753,0.006543064,0.036306378,0.001568832,0.0,0.029536247,0.032728795,0,0,0.017740637,0.018461453,0.019246642,0.020285809,0.016139675,0.008873026,0.099777587,0.081807755,0.044851054,0.044624519,0.008203951,0.007954184,0.014280831,0.014513455,0.009969842,0.009582573,0.022950295,0,0,0.013881024,0.022169503,0.023947915,0.050434269,0.052255433,1e-10,0.022583401,0.06728698,-0.028279379,-0.018888678,0.049732029,-0.000940091,0.054545142,0.049791779,0.002716792
16:21:20:39.048,61,1.05e-07,0.079855442,0.087740801,0.0,0.0,0.021937463,0.099488393,1.05e-07,0.079856612,0.032610413,0.0,0.0,0.021939583,0.099702224,0.004294252,0.012480103,0,0.008818652,0.008903273,0.006454916,0.036013313,0.001850632,0.0,0.029196546,0.032391064,0,0,0.01733797,0.018042224,0.018998204,0.02001245,0.01584146,0.008784638,0.098603532,0.080890797,0.044200901,0.043976814,0.008085703,0.007834615,0.013991362,0.014209363,0.008648751,0.008262553,0.02278332,0,0,0.013718542,0.021810519,0.023573317,0.049891107,0.051679608,0.0,0.022306044,0.066358399,-0.028393369,-0.019896869,0.048791312,-0.000971501,0.053533994,0.048850961,0.002616013
16:21:20:40.049,61,9.69e-08,0.077987678,0.086415388,0.0,0.0,0.02172548,0.100479275,9.7e-08,0.077981822,0.033902884,0.0,0.0,0.021727605,0.100694567,0.004221319,0.012484146,0,0.008765626,0.008874546,0.006395289,0.03591045,0.002106235,0.0,0.029001841,0.032078594,0,0,0.017005859,0.017698525,0.018781409,0.019781141,0.015602697,0.008719083,0.097984076,0.080302864,0.043722805,0.04349266,0.007986416,0.007734144,0.013747157,0.013949349,0.007548548,0.007160477,0.022675565,0,0,0.01360049,0.021500805,0.023245286,0.049431011,0.051178806,0.0,0.020866377,0.06540328,-0.028402282,-0.020686599,0.047646597,-0.000986322,0.052728213,0.047706321,0.002516208
16:21:20:41.051,61,8.91e-08,0.075792648,0.084318452,0.0,0.0,0.021546956,0.100966498,8.93e-08,0.075777426,0.035967536,0.0,0.0,0.0215491,0.101181969,0.004152765,0.01247082,0,0.008716868,0.008851863,0.006338719,0.035803001,0.002312291,0.0,0.028715648,0.031672172,0,0,0.01667694,0.01735837,0.01856865,0.019553552,0.015383794,0.008653189,0.097475596,0.079809539,0.043260887,0.043026786,0.007890781,0.00763779,0.013527788,0.013716848,0.006648948,0.006261101,0.022559119,0,0,0.013473217,0.021217179,0.022949403,0.048999634,0.050709907,0.0,0.019988276,0.06434944,-0.028613297,-0.021947781,0.046300959,-0.001016848,0.051451977,0.0463605,0.002385992
