FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:43:04.780,61.0,0.391180426,0.20388855,0.237183988,0.0,0.0,0.350371003,0.0,0.375082552,0.205374599,0.0,0.120709084,0.0,0.346974522,0.0,0.034596697,0.0,0.053375125,0.024314309,0.032620084,0.03901349,0.050294839,0.00478748,0.0,0.152626053,0.088504456,0.0,0.0,0.032407157,0.033857003,0.070472665,0.080671653,0.142436221,0.019947499,0.3570894,0.280074328,0.165596545,0.155710325,0.041384701,0.039594904,0.118381284,0.110843748,0.685518682,0.684499383,0.062750511,0.0,0.0,0.024396764,0.350446403,0.257238478,0.406529367,0.410451591,0.0,0.186578304,0.008171585,-0.034997266,0.073156431,0.125794455,0.009243012,0.143757299,0.125853434,0.018123914
16:22:43:05.782,61.0,0.157634065,0.164354444,0.272094011,0.0,0.0,0.352340877,0.0,0.153497905,0.165792286,0.0,0.155747727,0.0,0.347753525,0.0,0.034381293,0.0,0.053675771,0.024485806,0.032824319,0.038885456,0.050125748,0.004939081,0.0,0.152453974,0.088746458,0.0,0.0,0.032718495,0.034097314,0.070152417,0.080318093,0.143578693,0.020028703,0.35517776,0.277384818,0.156016544,0.145907253,0.041201074,0.039427463,0.118010484,0.110607408,0.685249031,0.683806598,0.060379591,0.0,0.0,0.024570709,0.346219838,0.249914825,0.396986306,0.405148387,1e-10,0.1864191,0.011798692,-0.032996483,0.0946519,0.101733685,0.009647925,0.16536805,0.101791799,0.016813025
16:22:43:06.783,61.0,0.06820409,0.113711909,0.277729452,0.0,0.0,0.333480716,0.0,0.066347197,0.114715748,0.0,0.160845175,0.0,0.329058737,0.0,0.034187961,0.0,0.053852283,0.024609275,0.033007566,0.038951203,0.049985588,0.005014375,0.0,0.151209205,0.088786684,0.0,0.0,0.032857057,0.034195069,0.069869787,0.080101863,0.143982798,0.020142503,0.354074895,0.276110977,0.150951147,0.140831605,0.041181278,0.039342068,0.117719762,0.110448703,0.683204532,0.681506932,0.056464929,0.0,0.0,0.024647627,0.329629064,0.246970341,0.392128825,0.406418264,1e-10,0.188416973,0.014884439,-0.031949941,0.098012805,0.070414379,0.006901767,0.169242203,0.070471138,0.011888964
16:22:43:07.785,61.0,0.022155931,0.078869358,0.277294725,0.0,0.0,0.306380332,0.0,0.021474771,0.079541452,0.0,0.159785628,0.0,0.302830786,0.0,0.034093,0.0,0.053896364,0.02476076,0.033240993,0.039180927,0.049874932,0.005049308,0.0,0.148160711,0.08852382,0.0,0.0,0.03287847,0.034200702,0.069738038,0.080114506,0.143911406,0.02028021,0.351511389,0.274999529,0.147934541,0.137942895,0.041389894,0.039411802,0.11746195,0.110331371,0.682639122,0.680854321,0.053412307,0.0,0.0,0.024625639,0.317089766,0.245534092,0.389662415,0.408170193,1e-10,0.190804511,0.017068338,-0.030785518,0.097491942,0.048821125,0.004755873,0.169191271,0.048876997,0.008236537
16:22:43:08.786,61.0,0.0,0.061463893,0.284263194,0.0,0.0,0.280915141,0.0,0.0,0.061988644,0.0,0.166575208,0.0,0.279053927,0.0,0.034111977,0.0,0.05386151,0.024864374,0.033428982,0.039425761,0.049761336,0.005058705,0.0,0.145880938,0.088143714,0.0,0.0,0.032781851,0.034109671,0.069753818,0.08035937,0.14359352,0.020416526,0.34957847,0.274211645,0.145953834,0.136207134,0.041797902,0.039620318,0.117355198,0.110361144,0.682529628,0.680709064,0.05077992,0.0,0.0,0.024525723,0.305041015,0.244871706,0.389953077,0.418924153,2e-10,0.192237184,0.017879394,-0.029488737,0.101681821,0.038063407,0.003865538,0.173522875,0.038118873,0.006584447
16:22:43:09.789,61.0,0.0,0.043585189,0.293551564,0.0,0.0,0.265175462,0.046903014,0.0,0.043950703,0.0,0.175812349,0.0,0.263908863,0.047133178,0.034277517,0.0,0.053754401,0.024982093,0.033630308,0.0397508,0.049723554,0.005102581,0.0,0.14459756,0.087794453,0.0,0.0,0.032632586,0.03399042,0.069980137,0.080909289,0.143469825,0.020535581,0.349208534,0.275191784,0.144768283,0.135310456,0.042308494,0.039876968,0.117653251,0.110727564,0.675660253,0.673785627,0.048282243,0.0,0.0,0.024383865,0.300320149,0.245560333,0.410557538,0.44703728,1e-10,0.193042502,0.016970021,-0.029920392,0.107358798,0.027003465,0.002894189,0.179256216,0.027058348,0.004825583
16:22:43:10.789,61.0,0.0,0.03112556,0.293543816,0.0,0.0,0.255743653,0.088038467,0.0,0.031361885,0.0,0.175758541,0.0,0.254709303,0.088213757,0.03443449,0.0,0.053534273,0.025057452,0.033775833,0.040039104,0.049683798,0.005123918,0.0,0.143793523,0.087686271,0.0,0.0,0.032461681,0.033861689,0.070192255,0.081470437,0.142992839,0.020620165,0.349287748,0.276750624,0.143941641,0.134770155,0.042813499,0.040124342,0.118041642,0.11115893,0.658916414,0.65680331,0.04555459,0.0,0.0,0.024223147,0.294936329,0.245722786,0.416317433,0.455247223,1e-10,0.192014828,0.015340012,-0.029860312,0.107345015,0.019268811,0.002064694,0.179282963,0.019323278,0.003446221
16:22:43:11.791,61.0,0.0,0.031767011,0.288398743,0.0,0.0,0.248052508,0.120116398,0.0,0.032002945,0.0,0.170329794,0.0,0.247110456,0.120294325,0.034603547,0.0,0.053266335,0.025068414,0.03382913,0.040290106,0.049659673,0.005237844,0.0,0.141401783,0.086718015,0.0,0.0,0.032248594,0.033682264,0.070380434,0.081991307,0.141825557,0.020670805,0.349956632,0.280052096,0.143395796,0.134476632,0.043303005,0.04035921,0.11839807,0.111488447,0.65184021,0.649676323,0.043624435,0.0,0.0,0.024088915,0.280051649,0.243918806,0.419642866,0.459484041,1e-10,0.189894021,0.013672215,-0.029712211,0.104028598,0.019655766,0.002041336,0.176139265,0.019710369,0.003454279
16:22:43:12.793,61.0,0.0,0.028583363,0.289195567,0.0,0.0,0.244502842,0.134191796,0.0,0.028788075,0.0,0.171194017,0.0,0.243612871,0.134387285,0.03476961,0.0,0.052991085,0.02507689,0.033888988,0.040567558,0.049632594,0.005309855,0.0,0.140276328,0.086151734,0.0,0.0,0.03204675,0.033515431,0.070629723,0.082578585,0.141016424,0.020722253,0.350461066,0.281456649,0.142950818,0.134265795,0.043812934,0.040620998,0.118742004,0.111806758,0.648537219,0.64635253,0.042114824,0.0,0.0,0.023963386,0.275390148,0.243243232,0.422231495,0.461869568,1e-10,0.18796666,0.01230858,-0.030244837,0.104560264,0.017682215,0.00184568,0.176632345,0.017736577,0.003116905
16:22:43:13.794,61.0,0.0,0.026393021,0.286519498,0.0,0.0,0.242388025,0.147516817,0.0,0.026572166,0.0,0.168555751,0.0,0.241520569,0.147718966,0.034928042,0.0,0.052685898,0.025093911,0.033953738,0.040851623,0.049598295,0.00538999,0.0,0.139520034,0.085755706,0.0,0.0,0.031885412,0.033392455,0.070901103,0.083184302,0.140286356,0.020770561,0.353888005,0.285885662,0.142606065,0.134136275,0.044288121,0.040855333,0.119215995,0.112233624,0.646040261,0.643864512,0.040894501,0.0,0.0,0.023836661,0.272908688,0.242815346,0.428431511,0.464497298,1e-10,0.185924754,0.010965508,-0.029913472,0.102951236,0.016318424,0.001677183,0.17500183,0.016372673,0.002850892
