FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
1.41658e-05,0.039381113,0.083040275,0.0,0.0,0.026558908,0.174792394,1.4106e-05,0.039352231,0.037736669,0.0,0.0,0.026564959,0.175170437,0.004444107,0.010673155,0.0,0.009302662,0.008877522,0.004614734,0.026333584,0.009816036,0.0,0.094081208,0.082091637,0.0,0.0,0.02030275,0.020798083,0.018865077,0.019804422,0.012897704,0.010398575,0.079857267,0.062150024,0.034393095,0.033862766,0.008384683,0.007940566,0.008904591,0.008824412,0.0,0.0,0.02234865,0.005607707,0.006121436,0.012068847,0.017558476,0.019153591,0.038547687,0.040486284,3.9e-09,0.029649835,0.053817254,0.033591081,-0.023045357,0.024045296,-0.00055419,0.050711732,0.024087526,0.001221232
1.30369e-05,0.039549328,0.083419889,0.0,0.0,0.026777875,0.175601348,1.29819e-05,0.039521229,0.037369229,0.0,0.0,0.026783947,0.175988033,0.004476217,0.010661329,0.0,0.009380223,0.008950523,0.004635312,0.026265575,0.00992527,0.0,0.096077077,0.083442815,0.0,0.0,0.020506758,0.021011677,0.018926524,0.019876512,0.012944536,0.010477711,0.079833552,0.062025603,0.034246925,0.033717457,0.008485378,0.008025709,0.008930197,0.008846494,0.0,0.0,0.022425052,0.005366953,0.005884958,0.012052649,0.017694382,0.019296642,0.038636677,0.040605627,4e-09,0.0297422,0.053239611,0.033520814,-0.022820909,0.024148434,-0.000551149,0.050943438,0.024190705,0.001232064
1.1998e-05,0.039709546,0.083683714,0.0,0.0,0.027003806,0.176367074,1.19473e-05,0.039682031,0.037103221,0.0,0.0,0.02700991,0.176758751,0.004509844,0.010677142,0.0,0.009452499,0.009017764,0.004652361,0.02619225,0.010000888,0.0,0.097129174,0.084356763,0.0,0.0,0.020706339,0.021222785,0.019000383,0.019959377,0.012990624,0.010552639,0.079823412,0.061921269,0.0341058,0.033579152,0.008581183,0.008108387,0.008956186,0.008870337,0.0,0.0,0.022507921,0.005074152,0.005596353,0.012032713,0.017831717,0.019444453,0.038717479,0.040721204,3.9e-09,0.029794702,0.052547899,0.033464585,-0.022658411,0.024246598,-0.00054945,0.051104419,0.0242889,0.001240973
1.10418e-05,0.039223235,0.083825849,0.0,0.0,0.027206766,0.177058429,1.09952e-05,0.03919572,0.03694981,0.0,0.0,0.027212905,0.177454174,0.004544406,0.010689773,0.0,0.00953061,0.009088321,0.004676656,0.026158748,0.010069193,0.0,0.097937867,0.085095428,0.0,0.0,0.020905804,0.021433989,0.019068923,0.020037856,0.013043214,0.010632216,0.079872757,0.061858729,0.034019079,0.033494651,0.008671521,0.008186789,0.008980071,0.008890619,0.0,0.0,0.022577964,0.004803543,0.005330592,0.012031919,0.017956231,0.019576881,0.03879416,0.040823791,4.9e-09,0.029935164,0.052855101,0.033666797,-0.022564884,0.023949402,-0.000540473,0.051191583,0.023991548,0.001227864
1.01619e-05,0.039095219,0.083605051,0.0,0.0,0.027395444,0.177704111,1.0119e-05,0.039067119,0.037169639,0.0,0.0,0.027401611,0.178103134,0.004574759,0.010678032,0.0,0.009596014,0.009144473,0.004692751,0.026109682,0.010143921,0.0,0.098599933,0.085705817,0.0,0.0,0.021108974,0.021646561,0.019135697,0.020114319,0.013089738,0.01070658,0.079936475,0.0618231,0.033932313,0.033407092,0.008752065,0.008256664,0.008997152,0.008905795,0.0,0.0,0.022653196,0.004595241,0.005126529,0.01202419,0.018064346,0.019693419,0.038847435,0.040902559,5.6e-09,0.030191219,0.053093132,0.033893649,-0.022699174,0.023870897,-0.000541906,0.051056851,0.02391308,0.001220628
9.3521e-06,0.039156497,0.083628811,0.0,0.0,0.027543465,0.178380907,9.3126e-06,0.039128393,0.037145108,0.0,0.0,0.027549652,0.178782255,0.004598866,0.010648842,0.0,0.009647422,0.009190659,0.004707394,0.026083745,0.01020796,0.0,0.09897583,0.085999101,0.0,0.0,0.021254363,0.021796854,0.019177852,0.020168483,0.013130296,0.010767316,0.080012173,0.061816111,0.033885021,0.033354651,0.008812854,0.008310266,0.009013412,0.008918806,0.0,0.0,0.022714095,0.004306596,0.004841817,0.012023277,0.018160455,0.019793371,0.038903114,0.040974639,7.1e-09,0.030135967,0.053272065,0.034023367,-0.022684176,0.023908334,-0.000542398,0.051071305,0.023950581,0.001222889
8.6068e-06,0.038677018,0.083352305,0.0,0.0,0.027688127,0.178959012,8.5705e-06,0.038648136,0.037398122,0.0,0.0,0.027694348,0.179363072,0.004624746,0.010606527,0.0,0.009686221,0.009223775,0.004723388,0.026094364,0.01030067,0.0,0.099200845,0.086102508,0.0,0.0,0.02140476,0.021949045,0.019219214,0.020218276,0.013169715,0.010821393,0.080214515,0.061922889,0.033898987,0.033364784,0.008866835,0.008356562,0.009033574,0.008933788,0.0,0.0,0.022779783,0.004110249,0.004649586,0.012040457,0.018240225,0.01987307,0.038955037,0.041035842,8.2e-09,0.030163275,0.053662968,0.033946678,-0.022838846,0.023614964,-0.000539392,0.050902806,0.023657098,0.001203917
7.9209e-06,0.038083181,0.082771905,0.0,0.0,0.027804133,0.179302022,7.8875e-06,0.038052738,0.037967209,0.0,0.0,0.027810404,0.179708719,0.004648347,0.010567309,0.0,0.009722797,0.009252996,0.004739675,0.026135156,0.010366565,0.0,0.099291496,0.086079039,0.0,0.0,0.021523323,0.022072179,0.019252945,0.020263042,0.013203811,0.010863611,0.080461726,0.062072448,0.033930112,0.033392262,0.008907734,0.008392436,0.009053519,0.008950043,0.0,0.0,0.022835761,0.003935636,0.004478709,0.012052152,0.018305428,0.019936498,0.03899578,0.041078758,8.8e-09,0.030001866,0.053666305,0.033861317,-0.023186581,0.023251347,-0.000539168,0.050548784,0.023293451,0.001177167
7.2897e-06,0.038118113,0.082632601,0.0,0.0,0.027853515,0.179650486,7.2589e-06,0.038087472,0.038074162,0.0,0.0,0.027859805,0.180057973,0.004671161,0.010530352,0.0,0.009752009,0.009273223,0.004760104,0.026225561,0.010373877,0.0,0.099341139,0.086080007,0.0,0.0,0.021653855,0.022210434,0.019282641,0.020303676,0.01324525,0.010897952,0.08092352,0.062395588,0.034045048,0.033505887,0.008937186,0.008419798,0.009083547,0.008978442,0.0,0.0,0.022888867,0.003888419,0.004434506,0.012084712,0.018358829,0.0199911,0.039061222,0.041145377,9.2e-09,0.029788874,0.053950262,0.033651114,-0.023251889,0.023272608,-0.000541181,0.050463688,0.023314716,0.00117626
6.7087e-06,0.038282622,0.082308076,0.0,0.0,0.027913097,0.179976702,6.6804e-06,0.038251594,0.038378649,0.0,0.0,0.027919438,0.180386648,0.004696365,0.010540688,0.0,0.009781425,0.00929337,0.004783515,0.026305372,0.010424228,0.0,0.099277966,0.085989296,0.0,0.0,0.021778615,0.022336576,0.019328201,0.020352751,0.013286037,0.010934257,0.081349962,0.062689006,0.034170397,0.033627342,0.008966669,0.008444512,0.0091091,0.009001283,0.0,0.0,0.022915799,0.00374029,0.004289952,0.012123199,0.018410828,0.020045247,0.039117459,0.041201316,8e-09,0.029444085,0.054311198,0.03343609,-0.023437781,0.023372995,-0.000547861,0.05026539,0.023415102,0.001176688
