FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:23:03:21.682,61.0,0.0,0.071346588,0.160577521,0.0,0.0,0.075871453,0.841773629,0.0,0.071578622,0.0,0.039911527,0.0,0.075876623,0.841880083,0.177941129,0.0,0.005927694,0.099490501,0.105059288,0.072531961,0.080292121,0.009164412,0.0,0.0,0.0,0.432046562,0.406301469,0.010925223,0.009823988,0.129039824,0.13359648,0.134673566,0.029054992,0.162121281,0.099358127,0.033115022,0.032286529,0.055836812,0.052997161,0.020113356,0.020637348,0.0,0.0,0.569458723,0.39152953,0.394322991,0.023849683,0.110675149,0.103866778,0.073148049,0.085039243,4e-10,0.071128286,0.023993474,-0.005831039,0.024357257,0.043737881,0.001065909,0.097997792,0.04379341,0.004287507
16:23:03:22.683,61.0,0.0,0.071776308,0.160105825,0.0,0.0,0.07624986,0.842197001,0.0,0.072008729,0.0,0.039436597,0.0,0.076255396,0.842301726,0.179088488,0.0,0.00609325,0.099886537,0.105418764,0.072833307,0.080509424,0.009310191,0.0,0.0,0.0,0.434124202,0.408646584,0.01089156,0.009783464,0.129785001,0.134334505,0.135207906,0.029101942,0.162790224,0.099695861,0.033214256,0.032399207,0.05604713,0.053212639,0.020070883,0.020601952,0.0,0.0,0.569120646,0.390452385,0.393208504,0.023940224,0.111117251,0.104306802,0.073383823,0.085356414,4e-10,0.070663147,0.023666573,-0.005537581,0.024067139,0.044000387,0.001059545,0.097708799,0.044055924,0.004300562
16:23:03:23.685,61.0,0.0,0.071580768,0.160047352,0.0,0.0,0.076666527,0.84250164,0.0,0.071812213,0.0,0.039395146,0.0,0.07667245,0.842604756,0.180143341,0.0,0.006188008,0.100224301,0.105709575,0.073074773,0.080658324,0.009457654,0.0,0.0,0.0,0.435548723,0.41018486,0.010858048,0.009743945,0.130488649,0.135026544,0.135791212,0.029132018,0.1636682,0.100099124,0.033315275,0.032513071,0.056245226,0.053411659,0.020035535,0.020576982,0.0,0.0,0.56888938,0.389389098,0.39213112,0.024010547,0.111607477,0.104781002,0.073634468,0.085698418,4e-10,0.070416309,0.023326394,-0.00540965,0.024041969,0.043880273,0.001055544,0.097673632,0.043935746,0.004287276
16:23:03:24.687,61.0,0.0,0.07138367,0.159511015,0.0,0.0,0.077081926,0.842483223,0.0,0.07161238,0.0,0.038877122,0.0,0.077088341,0.842585385,0.181215897,0.0,0.006246739,0.100665957,0.106128655,0.073411353,0.080829687,0.009607071,0.0,0.0,0.0,0.436608315,0.411331892,0.010836571,0.00971408,0.131714523,0.136306629,0.136362925,0.029172363,0.164373279,0.100445643,0.03341743,0.032624021,0.056504861,0.053668011,0.02001447,0.020562926,0.0,0.0,0.568583906,0.388314247,0.391061068,0.024044635,0.112233855,0.105385616,0.073995397,0.086159386,4e-10,0.070188075,0.023409036,-0.005228594,0.023725959,0.043757837,0.001038762,0.097346827,0.043813374,0.004261061
16:23:03:25.688,61.0,0.0,0.070754901,0.158891514,0.0,0.0,0.077422336,0.84228456,0.0,0.070978932,0.0,0.038284328,0.0,0.077429205,0.842385888,0.181919262,0.0,0.006231861,0.101023458,0.106485501,0.07373596,0.080927864,0.009735804,0.0,0.0,0.0,0.436995596,0.411717236,0.010823307,0.009693698,0.132475719,0.137046129,0.136876255,0.029200699,0.164965943,0.100774802,0.033504885,0.032719012,0.056721594,0.053882409,0.020025751,0.020579038,0.0,0.0,0.567840874,0.386493236,0.389216125,0.02405997,0.11279317,0.105945163,0.074359216,0.086611852,4e-10,0.069673166,0.023870093,-0.005369552,0.023364583,0.043370411,0.001013875,0.096970379,0.043425851,0.004207045
16:23:03:26.690,61.0,0.0,0.070451446,0.158701554,0.0,0.0,0.07775268,0.842114568,0.0,0.070673525,0.0,0.038094636,0.0,0.077759907,0.842215478,0.182052776,0.0,0.006239709,0.101247706,0.106701724,0.073922023,0.080952585,0.009857339,0.0,0.0,0.0,0.43121165,0.406036854,0.01082398,0.009692282,0.132935822,0.137490615,0.137166262,0.029233385,0.165404156,0.101017132,0.033574667,0.032792408,0.056845281,0.054012302,0.020033902,0.020584805,0.0,0.0,0.566360295,0.384983271,0.387730986,0.024060428,0.11311999,0.106272511,0.074593619,0.086886473,4e-10,0.069790237,0.023940948,-0.005770832,0.023249002,0.043183681,0.001004511,0.096855231,0.04323912,0.004183974
16:23:03:27.691,61.0,0.0,0.070527554,0.158713549,0.0,0.0,0.077778481,0.841433287,0.0,0.07075002,0.0,0.03811134,0.0,0.07778576,0.841536224,0.181772843,0.0,0.006294588,0.101387985,0.106851459,0.074051589,0.080989778,0.009897274,0.0,0.0,0.0,0.411410689,0.388493776,0.01085253,0.009719706,0.132945657,0.137542635,0.1373422,0.029267635,0.165629923,0.101170175,0.033616379,0.032824379,0.056885418,0.054067735,0.020092642,0.020636316,0.0,0.0,0.565274298,0.384049654,0.386815339,0.024039464,0.113321669,0.106450461,0.074793413,0.087097183,4e-10,0.069713339,0.024403852,-0.006074934,0.023259152,0.043230429,0.001006039,0.096862346,0.043285858,0.004188809
16:23:03:28.693,61.0,0.0,0.070523061,0.158916697,0.0,0.0,0.077613749,0.839233756,0.0,0.070746116,0.0,0.038308758,0.0,0.077620819,0.839346468,0.169257611,0.0,0.006342697,0.10120257,0.1067461,0.074012168,0.080993213,0.009819719,0.0,0.0,0.0,0.376433075,0.354607582,0.01088102,0.009752289,0.130954668,0.13594684,0.136920512,0.029229203,0.164656699,0.100939818,0.033584897,0.03277291,0.056793969,0.053993143,0.020198356,0.020729901,0.0,0.0,0.563949585,0.383411586,0.386202127,0.023966493,0.113233626,0.106347434,0.074960046,0.087239094,3e-10,0.069665559,0.024623302,-0.006254305,0.023379635,0.043228164,0.001011197,0.096986339,0.04328363,0.004193938
16:23:03:29.694,61.0,0.0,0.072242908,0.158342212,0.0,0.0,0.07727173,0.836712837,0.0,0.072471619,0.0,0.037709937,0.0,0.07727845,0.836834967,0.146817252,0.0,0.006408438,0.100696959,0.106371611,0.073760696,0.08090125,0.009632353,0.0,0.0,0.0,0.331732392,0.312558115,0.010912314,0.009790698,0.123358704,0.128671795,0.132153258,0.029111926,0.157770276,0.099770442,0.033450618,0.032613426,0.056558885,0.053770762,0.020343371,0.020855671,0.0,0.0,0.56304884,0.382915646,0.385733634,0.023842225,0.112860002,0.105998233,0.07501705,0.087272018,4e-10,0.069687866,0.024775085,-0.006302712,0.023013121,0.044282135,0.001019646,0.096631296,0.04433766,0.004280521
16:23:03:30.696,61.0,0.0,0.074495308,0.15783143,0.0,0.0,0.076780289,0.833955348,0.0,0.074732214,0.0,0.037166782,0.0,0.076786578,0.834086061,0.131790727,0.0,0.006453075,0.099493064,0.105818965,0.073358342,0.080780953,0.009367278,0.0,0.0,0.0,0.310953707,0.291523457,0.010952084,0.009843687,0.116999641,0.122369453,0.124332696,0.028968805,0.148577467,0.096337996,0.033275019,0.032412361,0.056285113,0.053508554,0.020475509,0.020962911,0.0,0.0,0.560856581,0.382457405,0.385301143,0.023701517,0.111517839,0.10495162,0.074888289,0.087102979,4e-10,0.069226094,0.02531485,-0.006097595,0.02268024,0.04566307,0.001036281,0.096313618,0.045718629,0.00439956
